Ta_m,P_m,SWin_m,VPD_m,GPP
16.446,0.0,224.188,6.036,11.4432
16.671,0.2,245.438,7.258,11.6865
16.002,0.0,187.583,4.842,12.6587
16.396,0.2,142.667,4.667,12.4341
15.738,0.8,174.833,3.692,13.9878
16.829,0.2,235.018,6.618,13.3856
14.935,0.0,238.479,6.004,12.8556
15.825,0.0,247.646,5.396,13.8354
15.119,0.2,155.958,3.847,14.5313
12.402,0.2,140.104,2.118,11.6298
12.708,0.6,118.542,4.613,11.0295
14.462,0.0,142.063,4.842,14.5728
15.356,11.6,87.75,1.692,8.29602
16.646,1.0,175.104,5.263,12.9342
18.39,0.4,148.771,6.608,6.16452
16.717,3.8,185.729,5.248,11.5814
14.073,0.0,252.104,5.539,14.1172
14.215,0.2,163.0,5.616,15.1195
13.392,5.4,58.771,1.794,5.57372
17.646,0.4,178.708,4.53,7.19098
16.846,7.4,119.708,3.482,8.24244
19.371,0.2,293.396,7.972,12.8096
25.675,2.6,268.375,16.491,13.7033
22.083,0.0,191.229,11.26,10.2442
19.958,0.0,253.729,7.538,9.9731
18.998,0.2,201.896,6.382,8.40012
19.079,0.0,236.625,6.783,10.5701
18.267,0.0,253.854,8.066,10.4786
19.356,0.0,268.75,10.06,12.836
18.271,0.0,108.438,7.329,9.44204
16.346,0.6,115.708,4.157,9.61214
17.171,7.0,149.917,3.999,8.90578
15.763,13.6,109.521,1.43,9.32204
16.59,0.0,215.625,6.44,13.4296
14.492,8.0,112.646,2.911,8.19755
14.35,10.8,78.521,2.563,6.6541
16.594,0.6,191.401,4.802,12.5718
17.706,0.0,203.958,4.821,10.7749
16.883,0.0,279.708,6.415,12.5183
18.081,0.0,278.896,8.275,12.3365
20.177,0.0,271.917,10.36,12.1987
23.19,0.0,273.75,14.875,12.9742
23.946,0.0,262.896,14.48,13.7399
26.183,0.0,252.438,17.897,12.597
27.719,0.0,256.625,22.004,8.86567
26.381,0.0,209.063,17.566,9.80409
18.804,0.0,219.854,9.081,8.85262
16.846,0.0,252.583,9.145,7.11624
20.221,0.0,254.917,12.841,7.68607
21.452,0.0,242.771,12.07,8.67167
21.848,0.2,239.417,12.373,8.69399
20.017,0.8,174.146,8.655,8.76559
18.448,0.0,216.229,7.573,10.6197
19.444,0.0,202.854,9.778,10.4032
14.742,10.6,53.292,2.485,4.55816
14.229,4.2,86.021,2.708,9.31484
14.888,0.0,193.0,4.846,10.4667
14.792,11.2,103.958,2.878,5.93487
13.531,0.0,210.292,4.12,8.45878
15.973,0.2,196.208,6.571,6.3488
11.888,0.0,136.708,4.088,7.55523
10.288,0.0,112.979,3.091,5.26734
10.26,0.0,126.104,3.224,6.80835
11.344,0.0,177.583,4.323,7.83908
14.081,0.2,215.458,5.676,9.81699
15.481,0.0,112.604,4.277,8.20805
16.975,0.6,88.438,2.45,5.79014
16.635,5.2,95.208,1.885,7.1967
16.492,0.4,153.729,4.755,8.55543
15.329,7.2,127.521,2.263,6.43776
14.975,0.2,118.729,3.447,9.20409
12.775,5.6,49.208,0.704,5.79133
15.977,0.2,143.188,3.656,6.43482
20.144,0.0,125.5,7.688,8.69349
